	mean_chao1
ERR1513679	236.0022727272727
ERR1513680	213.2835714285714
ERR1513687	208.85167210411086
ERR1513672	234.2945873015873
ERR1513671	245.51987354750514
ERR1513673	178.92941176470586
ERR1513674	241.1915853322305
ERR1513689	240.50774547366836
ERR1513683	184.86160427807485
ERR1513670	186.92083333333332
ERR1513685	169.21344537815125
ERR1513675	242.68907092907094
ERR1513686	192.8125816993464
ERR1513669	169.69949183303083
ERR1513690	202.41772486772484
ERR1513681	199.90435606060606
ERR1513684	207.31212036838724
ERR1513688	146.36038011695905
ERR1513892	131.30403762903762
ERR1513888	233.12034252297408
ERR1513890	248.25887096774196
ERR1513899	155.898
ERR1513891	226.17006926406924
ERR1513901	251.56190476190477
ERR1513886	313.27666666666664
ERR1513900	255.84036036036036
ERR1513894	204.62681329423268
ERR1513896	211.8527727272727
ERR1513887	263.31676636883986
ERR1513882	157.10272915490307
ERR1513889	199.91663996948893
ERR1513884	395.78216877140176
ERR1513898	235.19850230414744
ERR1513883	278.71084665567423
ERR1513885	215.46566666666666
ERR1513903	196.10918170426066
ERR1513913	286.2305911330049
ERR1513920	172.37558823529412
ERR1513916	315.2631818181818
ERR1513918	211.38559199932197
ERR1513917	206.06875110015844
ERR1513912	229.34855727554182
ERR1513910	197.96115384615382
ERR1513907	153.5064921920185
ERR1513915	246.21479076479076
ERR1513914	234.26018975332067
ERR1513922	301.0108225108225
ERR1513904	192.45175011840485
ERR1513909	214.5608532272325
ERR1513921	241.85337301587302
ERR1513906	282.70169887629567
ERR1513908	275.8262492907655
ERR1513911	260.3851111111111
ERR1513902	113.71333333333334
ERR1513919	156.42923593350383
ERR1513929	276.7661423852695
ERR1513924	275.7489349511291
ERR1513926	214.18075789727513
ERR1513940	306.6168554072677
ERR1513942	202.02877408354647
ERR1513934	211.9226980676329
ERR1513927	278.2688888888889
ERR1513923	142.69519230769234
ERR1513928	233.0539473684211
ERR1513930	226.29780219780218
ERR1513931	244.60906582388844
ERR1513925	223.92727739888224
ERR1513936	232.6130721003135
ERR1513939	223.17724775224775
ERR1513933	250.8065403195838
ERR1513938	198.02694805194807
ERR1513941	131.84864801864802
ERR1513932	121.68956043956044
ERR1513967	232.5001449275362
ERR1513955	296.7735142273074
ERR1513970	116.24880952380951
ERR1513945	161.3265664160401
ERR1513949	220.2225275891341
ERR1513944	157.89063746710806
ERR1513966	186.04471843945527
ERR1513953	348.34616468802517
ERR1513950	173.4107083134257
ERR1513946	236.34847918118217
ERR1513951	160.327906162465
ERR1513964	262.82381773399015
ERR1513954	216.9046318357564
ERR1513943	200.48296918767505
ERR1513952	169.9413095238095
ERR1513947	279.387336713996
ERR1513969	162.2348261959246
ERR1513968	174.2616847826087
ERR1513948	275.48125
ERR1513965	285.14357143557703
ERR1513986	214.83
ERR1513971	317.6730952757269
ERR1513988	298.07322859935766
ERR1513987	241.3006009852217
ERR1513984	245.03962330575604
ERR1513973	140.42549019607844
ERR1513980	209.97991937410416
ERR1513991	237.6374898249898
ERR1513972	190.85953969670658
ERR1513990	217.3385714285714
ERR1513978	160.46526610644256
ERR1513992	176.13108593443908
ERR1513976	161.92611111111108
ERR1513985	213.49593675889327
ERR1513989	298.617342987286
ERR1513977	307.90123628469166
ERR1513979	211.20135011441647
ERR1513975	222.23240740740738
ERR1513983	258.93154047976014
ERR1513974	215.2166666666667
ERR1514003	172.28529411764708
ERR1513993	306.3568758943759
ERR1513997	196.41343090346186
ERR1513998	249.1414102564102
ERR1513999	258.97303792981216
ERR1514010	238.2477324973877
ERR1514013	240.6469202898551
ERR1514006	222.7769305962854
ERR1514000	187.69649299719887
ERR1514009	150.5404329004329
ERR1514005	306.37082670906204
ERR1514011	180.0068713894801
ERR1513994	168.50835561497325
ERR1514014	200.53136200716844
ERR1513995	183.7796583850932
ERR1514001	204.64357142857142
ERR1514007	220.91133667354356
ERR1513996	230.22261571916744
ERR1514012	185.80287878787877
ERR1514015	113.17372549019608
